ResponseID,Finished,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5.a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_0x0SLQZEgQg1cI1,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Behavioral Sciences & Hlth Edu,SPHBSHEPHD,Major,No Dorm,USA,6,5,6,2,5,2,2,4,2,3,5,4,4,5,4,4,5,0,5,5,5,0,5,0,5,5,5,0,5,3,4,1,1,1,0,2,0,4,1,7,7,4,1,0,0,0,0
R_2ffFKoF33zhkTeL,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,English,ENGLISHPHD,Major,No Dorm,USA,5,4,5,3,5,2,1,2,3,3,6,6,6,6,4,6,5,4,4,5,4,5,4,0,5,5,0,0,5,4,3,1,1,0,0,2,0,4,1,5,5,4,1,0,0,0,0
R_1juNPF8sEfDOkTk,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,5,3,5,7,3,3,3,4,4,4,7,7,6,7,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,2,0,4,1,4,1,4,1,0,0,0,0
R_2pLU8iiq0FEl5lr,Survey Not Complete,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,5,3,5,3,2,2,2,6,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_O2J1YizHkVHTsqZ,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Art History,ARTHISTPHD,Major,No Dorm,USA,5,5,5,6,5,,,,1,1,5,5,6,5,5,6,5,5,5,5,5,0,5,5,5,5,5,5,5,2,5,1,1,1,0,2,0,4,1,4,4,4,1,0,0,0,0
R_2z72kqrkEO9Zhpp,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Political Science,POLISCIPHD,Major,No Dorm,USA,4,7,3,7,1,1,1,6,3,2,5,1,2,4,1,2,5,2,0,0,5,4,0,0,4,5,4,0,0,3,1,1,1,0,0,2,0,4,1,5,4,4,0,0,1,0,0
R_3HXr39vMKRWmhHU,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Epidemiology,EPIDPHD,Major,No Dorm,USA,5,6,7,6,6,2,2,5,5,5,7,6,6,5,7,7,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,1,1,0,0,2,0,2,1,4,4,4,1,0,0,0,0
R_2Uaa7SFt1ErOkdX,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Computer Science,COMPSCIBS,Major,No Dorm,KOR,3,3,2,5,2,2,5,4,2,4,3,4,3,6,3,3,2,3,5,3,3,4,5,3,3,2,2,3,3,2,5,1,1,0,1,1,1,0,1,4,7,1,0,0,1,0,0
R_3CQ7eIXaiJu5iPu,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Philosophy,PHILBA,Major,Clairmont Undergraduate Apts,USA,7,6,3,7,7,2,5,7,5,5,7,7,6,4,6,7,5,0,5,5,5,5,5,5,5,5,5,0,5,5,5,1,1,0,0,1,1,0,1,5,5,6,1,0,0,0,0
R_3PNSZ2F8CjDvGlP,Survey Complete,UBUS,Bachelor of Business Admin,Senior,Business Administration,BUSBBA,Major,No Dorm,USA,4,4,4,4,4,4,4,4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,1,0,0,0,1,1,0,1,4,2,2,1,0,0,0,0
R_2eOtbbWQdjTYOS7,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,History,HISTORYPHD,Major,No Dorm,USA,7,5,3,6,5,1,1,7,3,3,7,7,7,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,3,5,1,0,0,0,2,0,4,1,6,6,2,1,0,0,0,0
R_1GKcC9zhBOvrsO2,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Religion,RELPHD,Major,No Dorm,USA,5,4,6,4,4,1,1,3,1,1,6,6,6,6,6,5,4,4,4,4,4,5,5,4,4,5,4,4,4,2,2,1,1,0,0,2,0,4,1,4,5,4,0,0,1,0,0
R_3IQon1OKKTVvO1j,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Religion,RELPHD,Major,No Dorm,USA,7,7,7,7,7,1,7,7,1,3,7,7,7,4,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,1,1,2,0,4,1,7,4,4,1,0,0,0,0
R_3FWqT2MgZT0udNj,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,History,HISTORYPHD,Major,No Dorm,ARG,7,7,7,7,4,1,1,1,3,4,6,6,5,1,5,5,4,5,5,0,4,0,0,0,3,4,5,5,5,4,4,0,1,0,0,2,0,4,0,5,6,2,1,0,0,0,0
R_2XhDmu9JoTXzFkb,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Art History,ARTHISTPHD,Major,No Dorm,USA,5,4,5,5,4,1,1,5,3,5,5,5,5,6,4,5,5,5,4,5,5,5,5,5,5,0,5,5,5,4,3,1,1,0,0,2,0,4,1,5,2,4,1,0,0,0,0
R_PCcBzhX7DfYSS4h,Survey Complete,GSAS,Doctor of Philosophy,Adv Stdng,Mathematics,MATHPHD,Major,No Dorm,DEU,7,5,4,7,7,1,1,1,2,2,7,7,7,1,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,1,1,1,2,0,4,0,1,2,4,0,0,1,0,0
R_BVMwcuddb2u7Ss9,Survey Complete,GBUS,Evening MBA,Grad Yr 2,Business Administration,BUSMBAEV,Major,No Dorm,USA,6,5,4,2,4,1,1,1,3,2,4,4,4,7,2,3,4,4,4,4,5,0,4,5,5,5,4,0,3,2,1,1,0,0,0,2,0,2,1,5,7,4,0,0,1,0,0
R_3Emcass8rLOm7b4,Survey Complete,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,No Dorm,USA,7,7,4,7,4,3,1,7,3,5,5,3,4,7,4,3,0,5,4,0,5,5,5,0,5,5,5,5,4,3,4,1,0,0,1,1,1,0,1,4,5,4,1,0,0,0,0
R_2zSbmoAtGxpAcvM,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Undeclared - Arts & Sciences,UNDECLARED,Major,Clairmont Undergraduate Apts,USA,7,7,7,7,4,5,1,3,3,2,5,3,2,1,4,4,4,4,4,5,1,4,5,4,2,2,4,4,5,2,5,1,1,0,1,1,2,0,1,5,6,1,1,0,0,0,0
R_3IcVwRNi3iTRS5H,Survey Complete,THEO,Master of Divinity,Prof 3,Divinity,MDVDIVIN,Major,No Dorm,USA,5,5,3,1,3,2,1,1,3,5,4,5,4,6,4,4,4,4,3,4,3,5,4,3,3,3,0,3,2,3,2,0,0,0,0,2,0,3,1,4,5,4,1,0,0,0,0
R_12eS9efbMoLwxLq,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,English,ENGLISHBA,Major,Eagle Row I,USA,3,2,5,5,3,1,1,2,3,4,4,3,2,4,4,5,5,3,3,5,0,0,5,5,3,5,3,0,3,5,3,1,1,0,0,1,2,0,1,5,6,4,1,0,0,0,0
R_1l6IhKWBbJd1n7Y,Survey Complete,PUBH,Master of Public Health,Grad Yr 1,Behavioral Sciences/Health Ed.,BSHEMPH,Major,No Dorm,USA,7,6,6,3,4,1,1,3,2,3,7,5,4,6,5,6,5,0,4,5,5,5,5,0,5,5,5,0,5,2,2,1,0,0,0,2,0,1,1,3,5,4,1,0,0,0,0
R_2TGG1YMwDnyJSik,Survey Complete,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,7,5,5,4,3,1,1,1,2,2,4,5,4,5,4,5,4,3,4,5,5,5,4,4,4,4,4,3,4,2,3,1,1,0,1,2,0,4,1,5,7,1,1,0,0,0,0
R_RJsCG5wWxnZKRIl,Survey Complete,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,6,2,3,3,1,1,1,1,2,3,5,3,2,2,2,3,4,0,0,0,5,4,3,0,2,4,3,5,5,3,3,1,1,0,0,2,0,3,1,7,6,4,1,0,0,0,0
R_2SdI0iyMUmdAwuA,Survey Complete,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,5,5,4,4,5,1,1,5,3,3,6,5,5,4,6,6,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,1,1,1,0,2,0,3,1,3,4,6,1,0,0,0,0
R_3fISuUrS3Auazxz,Survey Complete,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,6,4,4,2,1,1,1,3,3,1,4,6,5,7,4,5,5,4,4,5,0,4,0,4,4,4,5,5,4,4,5,1,1,0,0,2,0,4,1,4,5,4,0,0,1,0,0
R_1lcuVrqjUAFeZ4L,Survey Complete,GBUS,One-Year Accelerated MBA,Grad Yr 2,Business Administration,BUSMBA3,Major,No Dorm,USA,5,5,5,5,2,1,1,5,3,3,5,3,3,6,4,3,2,3,3,3,2,4,4,2,2,2,2,3,3,3,3,1,1,1,1,2,0,4,0,4,6,4,0,0,1,0,0
R_2e5aDzitphiIWL4,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Film Studies,FILMSTBA,Major,Alabama Hall,USA,5,5,4,3,2,2,1,2,5,5,6,6,6,3,3,5,0,0,4,5,0,0,5,4,3,0,0,0,5,5,5,1,1,0,0,1,2,0,1,1,1,1,1,0,0,0,0
R_24Oa2YzPCFT8Mc3,Survey Complete,UCOL,Liberal Arts & Sciences,Freshman,Undeclared - Arts & Sciences,UNDECLARED,Major,Longstreet-Means,USA,5,2,5,4,1,1,1,5,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,1,3,0,0,2,6,6,1,0,0,0,0
R_2SC9mAgBdeIjzLR,Survey Not Complete,UCOL,Liberal Arts & Sciences,Junior,Human Health,HHBA,Major,No Dorm,USA,6,3,3,3,1,1,1,4,2,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2v7JBsUKC2rdjpv,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Chinese Language & Literature,CHINLLBA,Major,Woodruff Hall,USA,6,6,3,2,2,2,1,6,4,5,5,6,5,7,6,6,4,5,5,5,5,0,4,5,4,5,4,4,5,5,5,1,1,0,0,1,1,0,1,4,3,4,1,0,0,0,0
R_2q1Rqvjyracz5jH,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Environmental Sciences,ENVSBS,Major,Hopkins Hall,USA,6,7,5,5,7,7,7,4,5,5,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,0,1,5,5,1,1,0,0,0,0
R_d0iTWLFbqZmNEyZ,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Few Hall,USA,5,4,7,4,7,,1,5,3,4,5,4,3,3,4,4,3,4,4,3,4,5,5,5,5,5,5,5,5,5,4,1,1,0,0,1,2,0,1,6,5,1,1,0,0,0,0
R_3oWOgt0V903cN2w,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Biology,BIOLOGYBS,Major,Woodruff Hall,USA,7,6,7,5,3,3,2,4,4,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,2,0,1,5,7,4,1,0,0,0,0
R_b8Bapfj5RmSunTP,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Biology,BIOLOGYBS,Major,Clairmont Apts Tower,USA,6,5,7,6,7,3,1,5,4,5,5,4,4,6,5,6,5,4,5,5,5,4,5,0,5,5,0,5,5,5,3,1,1,0,0,1,1,0,1,7,7,1,1,0,0,0,0
R_1jwf1Ptg0FvhVz4,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Art History,ARTHISTBA,Major,Eagle Row E,USA,6,6,5,6,3,3,5,3,3,4,7,7,7,6,6,7,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,1,1,1,1,1,2,0,1,7,7,4,1,0,0,0,0
R_2tfgfhqkMIYd2VW,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Political Science,POLISCIBA,Major,Alabama Hall,USA,7,7,7,7,7,7,5,7,5,5,5,5,5,6,6,7,4,4,5,5,5,5,5,5,4,4,5,5,4,5,5,1,0,0,0,1,2,0,1,1,7,3,1,0,0,0,0
R_zYa8akmDi05li5H,Survey Complete,UBUS,Bachelor of Business Admin,Senior,Business Administration,BUSBBA,Major,Dobbs Hall,USA,7,7,7,7,5,7,7,7,5,5,7,7,7,6,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,1,1,0,1,5,5,1,1,0,0,0,0
R_UcpqBc0szefSBLr,Survey Not Complete,UCOL,Liberal Arts & Sciences,Sophomore,Human Health,HHBA,Major,Raoul Hall,USA,7,7,7,7,4,2,2,6,3,5,5,1,5,4,5,5,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_3e2XV051CJkkzWu,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,4,5,5,4,4,5,4,5,5,5,5,5,4,5,5,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
R_2dEJfMrQcMfemPt,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Biology,BIOLOGYBS,Major,Harris Hall,USA,7,5,2,5,3,6,1,7,2,2,6,5,6,7,7,5,5,4,5,5,5,4,5,5,5,4,4,2,5,1,1,1,1,0,1,1,2,0,1,4,4,1,1,0,0,0,0
R_2B8xMxjFwe9UjJ1,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Quantitative Science,QSSBS,Major,Clairmont Residential Center Apts,USA,7,6,7,5,6,3,7,6,5,5,7,7,7,7,7,7,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,1,1,0,0,1,1,0,1,4,4,1,1,0,0,0,0
R_2WZO2Q8gr2gXomV,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,Clairmont Undergraduate Apts,USA,3,3,2,4,1,1,1,1,3,5,1,4,2,7,5,3,5,3,5,5,2,5,1,5,5,5,1,2,3,4,5,1,1,0,0,1,1,0,1,5,4,4,0,0,1,0,0
R_VPWaFOujwjENyff,Survey Complete,UBUS,Bachelor of Business Admin,Senior,Business Administration,BUSBBA,Major,Clairmont Apts Tower,USA,5,4,6,3,2,3,1,2,5,5,5,6,3,2,1,1,0,5,5,4,5,5,5,5,5,5,5,5,4,5,3,1,1,0,0,1,1,0,1,5,4,4,1,0,0,0,0
R_rchByB95p1cfSU1,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,4,2,5,2,2,1,1,1,1,3,3,5,4,6,2,5,5,0,0,5,5,0,5,5,5,5,5,0,5,1,5,1,1,0,0,1,1,0,1,5,5,4,1,0,0,0,0
R_22xnCoVsCSVJEKv,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Political Science,POLISCIBA,Major,Clairmont Residential Center Apts,USA,6,5,2,5,5,3,2,5,3,5,4,3,5,6,3,5,5,2,2,3,5,0,5,3,1,1,1,1,2,4,3,1,1,0,1,1,1,0,1,5,6,4,1,0,0,0,0
R_1pXuQZfiWqhixBG,Survey Complete,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,No Dorm,USA,5,3,4,2,2,4,6,4,3,5,5,4,5,5,5,5,3,2,5,4,5,3,5,0,5,5,5,4,,3,5,1,1,0,1,1,1,0,1,6,7,4,0,0,1,0,0
R_0Ca6ZZTRs0T7EsN,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,5,4,6,3,5,2,1,6,4,4,5,4,4,2,5,6,5,3,4,0,5,4,5,0,5,0,5,4,5,5,2,1,1,1,0,1,1,0,1,5,4,4,1,0,0,0,0
R_2qruFoRHAYENEHf,Survey Complete,THEO,Master of Divinity,Prof 1,Divinity,MDVDIVIN,Major,No Dorm,USA,4,2,5,6,1,1,1,1,1,4,5,4,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,4,5,4,0,0,1,0,0
R_2c2gK7WEojwGQvB,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,7,6,7,7,7,7,7,7,5,5,7,7,7,4,7,7,5,5,5,0,5,5,5,0,5,5,5,5,5,5,5,1,1,1,0,1,1,0,1,4,6,4,1,0,0,0,0
R_3Du8pSpFKDVgAdr,Survey Complete,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,No Dorm,USA,6,6,6,4,6,1,1,5,3,4,5,7,6,7,7,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,0,1,4,4,4,1,0,0,0,0
R_28XTlcP2T39Ju7d,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Economics,ECONBA,Major,Eagle Row 12,USA,7,6,5,5,6,7,7,4,5,5,7,7,6,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,0,0,1,1,0,1,4,4,4,0,0,1,0,0
R_1mXlqFOHm2EyQlB,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Chemistry,CHEMBS,Major,Hopkins Hall,USA,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,2,0,1,4,6,2,1,0,0,0,0
R_1rfEQUD8iI0XItY,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Human Health,HHBA,Major,No Dorm,USA,7,7,5,2,5,3,2,3,4,3,5,3,3,4,6,5,4,5,5,3,3,0,3,0,3,5,5,2,2,5,5,1,1,0,0,1,1,0,1,3,4,4,1,0,0,0,0
R_1qXpBTDj0K7DEql,Survey Complete,UBUS,Bachelor of Business Admin,Senior,Business Administration,BUSBBA,Major,No Dorm,USA,6,5,5,3,5,2,3,3,3,4,5,5,4,6,4,5,4,5,4,0,4,4,5,5,5,4,5,3,4,5,5,1,1,0,0,1,1,0,1,1,1,3,1,0,0,0,0
R_1j6rHkGtogmQJFY,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Neuroscience & Behav Biology,NEUROBBBS,Major,Evans Hall,USA,7,5,5,6,4,2,1,3,3,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,1,2,0,1,4,5,4,1,0,0,0,0
R_CfPH95xxBxAd92V,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Undeclared - Arts & Sciences,UNDECLARED,Major,Woodruff Hall,USA,5,5,5,4,3,6,2,1,4,3,5,6,6,5,5,5,5,0,5,5,0,4,5,5,5,4,5,5,5,5,4,1,1,1,1,1,2,0,1,6,4,4,0,0,1,0,0
R_1FFChzW1QiQJxAV,Survey Complete,PUBH,Master of Science Public Hlth,Grad Yr 1,HealthPolicyHealthSerResearch,HPMMSPH,Major,No Dorm,USA,6,6,5,2,4,1,2,4,3,5,7,6,6,6,3,7,5,5,5,5,5,5,5,0,4,5,5,0,5,4,3,1,1,0,0,2,0,1,1,3,5,4,1,0,0,0,0
R_DBPGuCBkT1QvpRL,Survey Complete,THEO,Master of Divinity,Prof 1,Divinity,MDVDIVIN,Major,No Dorm,USA,6,4,7,6,7,3,7,6,4,4,7,7,7,7,7,7,5,0,5,5,5,5,5,4,5,5,4,5,5,5,5,1,1,0,0,2,0,1,1,1,2,4,0,0,1,0,0
R_2dLQQ7Zkeq7MhPC,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Longstreet-Means,USA,7,1,7,3,1,1,1,1,4,5,4,4,3,6,3,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,3,0,1,1,3,1,1,0,0,0,0
R_3Ep1Zs8W4kqShWo,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,No Dorm,USA,5,3,6,1,3,1,1,3,3,3,6,7,6,5,6,5,5,4,0,5,5,0,5,0,4,4,3,0,4,3,2,1,0,0,0,1,2,0,1,1,4,4,0,0,1,0,0
R_2qgiXzYeWwzRdz5,Survey Complete,THEO,Master of Divinity,Prof 2,Divinity,MDVDIVIN,Major,No Dorm,USA,4,3,2,2,1,3,1,1,2,4,3,2,3,6,3,3,2,5,3,4,1,1,5,1,2,1,2,4,3,4,2,1,0,0,0,2,0,2,1,7,4,4,0,0,1,0,0
R_2TF8yiSOZrcNXQ2,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,International Studies,INTLSTUBA,Major,No Dorm,USA,6,4,5,2,3,1,1,1,4,4,6,4,3,3,5,5,4,0,3,5,5,0,5,5,4,4,5,0,4,5,0,1,1,1,0,1,1,0,1,5,5,4,0,0,1,0,0
R_2X4Il4Y2SCp1Uby,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Biology,BIOLOGYBS,Major,Clairmont Undergraduate Apts,USA,3,3,5,7,3,4,1,3,3,3,3,3,3,1,3,2,4,2,5,4,3,3,5,5,5,3,4,3,3,3,3,0,1,0,0,1,1,0,1,5,5,3,1,0,0,0,0
R_1f93Zy2BGHwxDhP,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Longstreet-Means,USA,5,3,3,2,2,4,4,3,2,2,6,4,4,2,3,5,4,3,3,4,3,4,4,3,4,4,3,2,4,3,3,1,1,0,0,1,3,0,1,6,6,4,1,0,0,0,0
R_333AId8do3eYKLd,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Psychology,PSYCHBA,Major,Clairmont Residential Center Apts,USA,5,2,5,4,2,3,1,1,3,4,5,3,2,5,2,2,0,5,5,4,,,,,,5,5,5,5,5,0,0,1,0,0,1,1,0,1,3,1,3,0,0,1,0,0
R_AodDMGQ59ZcHceR,Survey Complete,UOXF,Associate of Arts,Freshman,Arts & Sciences,ARTSCIAA,Major,Haygood Hall,USA,7,7,6,3,3,1,1,3,3,5,7,7,7,7,5,3,0,0,0,5,5,0,5,0,5,0,0,0,5,3,2,1,0,0,0,1,3,0,1,6,4,3,1,0,0,0,0
R_242ki5gmWYIwsw0,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Biology,BIOLOGYBS,Major,No Dorm,USA,5,1,3,3,1,1,1,5,1,1,1,2,1,5,1,1,1,1,1,0,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,0,1,6,4,4,0,0,1,0,0
R_ymbZyX0ht5U7tmx,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Theater Studies,THEASTBA,Major,No Dorm,USA,5,6,5,3,3,1,1,5,3,5,5,7,7,4,7,7,5,0,5,5,0,0,5,5,5,5,5,0,5,3,0,1,1,0,0,1,1,0,1,3,6,4,1,0,0,0,0
R_yNMZG7WgauK1PVv,Survey Not Complete,UCOL,Liberal Arts & Sciences,Junior,Chemistry,CHEMBS,Major,Clairmont Apts Tower,USA,5,5,3,7,3,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_3EGY8v1flVqz2fD,Survey Complete,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,No Dorm,USA,6,6,4,4,5,1,1,5,3,4,6,7,4,6,6,7,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,1,1,0,1,1,1,0,1,5,4,4,1,0,0,0,0
R_1GIw3IDmjJs8rXz,Survey Complete,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,Clairmont Residential Center Apts,USA,6,3,3,5,2,1,1,6,4,4,6,5,5,7,4,6,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,1,1,1,1,1,1,0,1,4,4,4,1,0,0,0,0
R_31LghmSNnkgaMEB,Survey Complete,UCOL,Liberal Arts & Sciences,Junior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,3,3,2,5,3,1,1,3,2,4,3,7,7,6,5,6,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,1,0,1,5,6,4,1,0,0,0,0
R_3D7uw25IUkaMP0B,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Woodruff Hall,USA,6,1,3,4,4,4,4,4,5,4,7,7,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,2,0,1,5,5,4,1,0,0,0,0
R_10w4iMrQL5fydQk,Survey Complete,UBUS,Bachelor of Business Admin,Senior,Business Administration,BUSBBA,Major,Clairmont Undergraduate Apts,USA,1,1,1,1,1,1,1,1,1,1,1,2,3,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,0,1,1,1,1,0,0,1,0,0
R_2Sof8pKiJNDYDrz,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Longstreet-Means,USA,7,6,7,7,7,7,3,7,5,5,7,7,7,4,7,7,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,0,1,3,0,1,3,3,4,1,0,0,0,0
R_2RQYmQ07Y4xb7pU,Survey Complete,UCOL,Liberal Arts & Sciences,Sophomore,Theater Studies,THEASTBA,Major,Woodruff Hall,USA,3,1,2,6,1,1,1,4,1,1,1,4,3,7,2,1,3,1,3,2,1,2,3,1,1,1,1,1,2,1,2,1,1,0,0,1,2,0,1,4,4,4,1,0,0,0,0
R_31TMTXEBqj2WFr4,Survey Complete,UBUS,Bachelor of Business Admin,Senior,Business Administration,BUSBBA,Major,No Dorm,USA,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,2,2,3,4,4,4,3,3,3,4,4,2,3,3,2,4,0,0,0,0,1,2,0,1,4,4,3,0,0,1,0,0
R_22tN5iCmYviAyyS,Survey Complete,UCOL,Liberal Arts & Sciences,Senior,Anthropology & Human Biology,ANTHHBIOBS,Major,No Dorm,USA,6,6,4,4,2,2,1,2,3,3,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,0,0,1,1,0,1,5,7,4,1,0,0,0,0
R_1QgUFlwpPVmEhmZ,Survey Complete,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,Eagle Row J,USA,3,3,3,6,6,1,3,2,2,3,7,7,7,5,7,6,4,0,3,5,5,0,5,5,5,5,0,4,0,5,5,1,0,1,0,1,1,0,1,6,6,4,1,0,0,0,0
